Etunimi;Lukumäärä;;;
Maria;199 303;;;
Helena;121 010;;;
Anneli;117 704;;;
Johanna;111 953;;;
Kaarina;93 772;;;
Hannele;85 752;;;
Marjatta;82 438;;;
Kristiina;75 195;;;
Emilia;70 184;;;
Elina;63 957;;;
Liisa;63 729;;;
Sofia;63 114;;;
Maarit;57 337;;;
Tuulikki;56 979;;;
Susanna;56 811;;;
Annikki;51 740;;;
Katariina;48 152;;;
Leena;47 028;;;
Anna;45 909;;;
Marja;43 222;;;
Sinikka;41 203;;;
Inkeri;39 585;;;
Riitta;37 846;;;
Aino;36 333;;;
Anne;34 812;;;
Tuula;33 821;;;
Päivi;33 379;;;
Kyllikki;32 233;;;
Orvokki;30 864;;;
Karoliina;30 797;;;
Maija;30 409;;;
Ritva;30 037;;;
Pauliina;29 986;;;
Minna;29 532;;;
Tellervo;29 525;;;
Sari;29 161;;;
Pirjo;29 065;;;
Eveliina;28 119;;;
Irmeli;28 027;;;
Tiina;27 434;;;
Laura;26 700;;;
Marika;26 519;;;
Eeva;26 111;;;
Elisabet;25 763;;;
Tarja;25 736;;;
Satu;24 895;;;
Mari;24 408;;;
Hanna;24 129;;;
Ilona;23 832;;;
Heidi;23 740;;;
Annika;23 577;;;
Amanda;23 478;;;
Pirkko;23 260;;;
Aurora;22 923;;;
Marita;22 916;;;
Jaana;22 738;;;
Sirpa;22 693;;;
Olivia;22 490;;;
Seija;22 479;;;
Sanna;22 407;;;
Julia;22 138;;;
Matilda;22 027;;;
Irene;22 002;;;
Kirsi;21 576;;;
Anja;21 479;;;
Raija;21 442;;;
Anita;21 423;;;
Marianne;21 381;;;
Eija;21 376;;;
Sisko;21 260;;;
Katriina;20 871;;;
Merja;20 641;;;
Elisabeth;20 583;;;
Linnea;20 338;;;
Eila;20 137;;;
Tuulia;19 944;;;
Anni;19 875;;;
Marjaana;19 632;;;
Arja;19 458;;;
Kaisa;19 308;;;
Helmi;19 221;;;
Elisa;19 200;;;
Ulla;19 097;;;
Marketta;19 058;;;
Paula;19 022;;;
Jenni;17 978;;;
Emma;17 610;;;
Iida;17 443;;;
Katja;17 021;;;
Terttu;16 913;;;
Sirkka;16 728;;;
Heli;16 368;;;
Nina;15 945;;;
Mirjami;15 752;;;
Maaria;15 405;;;
Anniina;15 325;;;
Sara;14 924;;;
Ella;14 774;;;
Aleksandra;14 585;;;
Birgitta;14 537;;;
Kirsti;14 531;;;
Mirja;14 519;;;
Ida;14 441;;;
Alexandra;14 049;;;
Katri;13 994;;;
Suvi;13 981;;;
Hilkka;13 879;;;
Riikka;13 484;;;
Raili;13 458;;;
Anu;13 371;;;
Marjut;13 348;;;
Kaija;12 948;;;
Tuija;12 835;;;
Saara;12 579;;;
Niina;12 368;;;
Pia;12 248;;;
Ellen;12 116;;;
Kerttu;12 022;;;
Kristina;11 928;;;
Noora;11 865;;;
Lea;11 681;;;
Marjo;11 578;;;
Jenna;11 574;;;
Tanja;11 510;;;
Lotta;11 506;;;
Veera;11 461;;;
Aila;11 436;;;
Henna;11 319;;;
Alina;11 236;;;
Leila;11 116;;;
Kati;11 016;;;
Marja-Leena;10 997;;;
Irma;10 833;;;
Elsa;10 678;;;
Elli;10 623;;;
Aulikki;10 572;;;
Margareta;10 454;;;
Aada;10 329;;;
Venla;10 285;;;
Milla;10 161;;;
Maritta;10 101;;;
Outi;10 067;;;
Emmi;10 050;;;
Marja-Liisa;9 989;;;
Hellevi;9 967;;;
Miia;9 751;;;
Irja;9 745;;;
Erika;9 702;;;
Mervi;9 655;;;
Siiri;9 616;;;
Päivikki;9 595;;;
Taina;9 582;;;
Vilhelmiina;9 497;;;
Virpi;9 354;;;
Helinä;9 311;;;
Sini;9 287;;;
Mirjam;9 230;;;
Jonna;9 225;;;
Tiia;8 976;;;
Lilja;8 918;;;
Sonja;8 908;;;
Josefiina;8 793;;;
Anna-Liisa;8 644;;;
Jasmin;8 615;;;
Alisa;8 578;;;
Margit;8 492;;;
Oona;8 401;;;
Vilma;8 318;;;
Sanni;8 226;;;
Mia;8 059;;;
Terhi;7 906;;;
Linda;7 882;;;
Mira;7 746;;;
Roosa;7 675;;;
Nea;7 529;;;
Viivi;7 400;;;
Teija;7 248;;;
Aune;7 203;;;
Viola;7 194;;;
Essi;7 189;;;
Iiris;7 089;;;
Eliisa;7 056;;;
Christina;6 986;;;
Martta;6 944;;;
Piia;6 903;;;
Carita;6 892;;;
Isabella;6 850;;;
Marie;6 759;;;
Iina;6 741;;;
Tuuli;6 685;;;
Taru;6 667;;;
