Sukunimi;Yhteensä;;;
Korhonen;21882;;;
Virtanen;21144;;;
Mäkinen;19511;;;
Nieminen;19275;;;
Mäkelä;18565;;;
Hämäläinen;17747;;;
Laine;17512;;;
Heikkinen;17021;;;
Koskinen;16673;;;
Järvinen;15611;;;
Lehtonen;15405;;;
Lehtinen;14533;;;
Saarinen;14263;;;
Salminen;14082;;;
Heinonen;13956;;;
Niemi;13890;;;
Heikkilä;13885;;;
Kinnunen;13721;;;
Salonen;13407;;;
Turunen;12909;;;
Salo;12677;;;
Laitinen;12364;;;
Rantanen;12096;;;
Tuominen;12069;;;
Karjalainen;12056;;;
Mattila;11664;;;
Jokinen;11635;;;
Savolainen;10823;;;
Lahtinen;10723;;;
Ahonen;10701;;;
Ojala;10527;;;
Leppänen;10376;;;
Kallio;9873;;;
Leinonen;9777;;;
Väisänen;9763;;;
Hiltunen;9731;;;
Miettinen;9629;;;
Pitkänen;9628;;;
Aaltonen;9535;;;
Manninen;9535;;;
Koivisto;9431;;;
Hakala;9329;;;
Anttila;9326;;;
Laaksonen;8832;;;
Hirvonen;8769;;;
Lehto;8762;;;
Räsänen;8738;;;
Laakso;8630;;;
Toivonen;8588;;;
Rantala;8559;;;
Aalto;8453;;;
Mustonen;8450;;;
Niemelä;8203;;;
Moilanen;8146;;;
Nurmi;8130;;;
Peltonen;8113;;;
Seppälä;7984;;;
Pulkkinen;7937;;;
Hänninen;7882;;;
Saari;7847;;;
Kettunen;7787;;;
Lappalainen;7731;;;
Partanen;7649;;;
Koskela;7580;;;
Kemppainen;7544;;;
Kauppinen;7511;;;
Seppänen;7508;;;
Ahola;7482;;;
Salmi;7426;;;
Lahti;7403;;;
Ikonen;7183;;;
Aho;7176;;;
Huttunen;7154;;;
Suominen;7109;;;
Pesonen;7007;;;
Halonen;7005;;;
Kärkkäinen;7003;;;
Nyman;6900;;;
Mikkonen;6822;;;
Koponen;6808;;;
Peltola;6804;;;
Johansson;6795;;;
Lindholm;6750;;;
Niskanen;6739;;;
Oksanen;6729;;;
Vainio;6693;;;
Heiskanen;6673;;;
Mikkola;6630;;;
Koski;6495;;;
Honkanen;6473;;;
Immonen;6414;;;
Harju;6333;;;
Vuorinen;6331;;;
Nurminen;6321;;;
